tensor(0.1065, device='cuda:0')
tensor(0.0453, device='cuda:0')
tensor(0.0265, device='cuda:0')
tensor(0.1487, device='cuda:0')
tensor(0.1183, device='cuda:0')
tensor(0.0232, device='cuda:0')
tensor(0.0898, device='cuda:0')
tensor(0.0988, device='cuda:0')
tensor(0.1249, device='cuda:0')
tensor(0.0812, device='cuda:0')
tensor(0.0432, device='cuda:0')
tensor(0.1093, device='cuda:0')
tensor(0.0930, device='cuda:0')
tensor(0.0660, device='cuda:0')
tensor(0.1313, device='cuda:0')
tensor(0.0810, device='cuda:0')
tensor(0.1007, device='cuda:0')
tensor(0.0361, device='cuda:0')
tensor(0.0203, device='cuda:0')
tensor(0.1522, device='cuda:0')
tensor(0.1308, device='cuda:0')
tensor(0.0242, device='cuda:0')
tensor(0.0759, device='cuda:0')
tensor(0.0979, device='cuda:0')
tensor(0.1297, device='cuda:0')
tensor(0.0547, device='cuda:0')
tensor(0.0277, device='cuda:0')
tensor(0.1511, device='cuda:0')
tensor(0.0898, device='cuda:0')
tensor(0.0433, device='cuda:0')
tensor(0.1082, device='cuda:0')
tensor(0.0878, device='cuda:0')
tensor(0.0967, device='cuda:0')
tensor(0.0509, device='cuda:0')
tensor(0.0311, device='cuda:0')
tensor(0.1322, device='cuda:0')
tensor(0.1062, device='cuda:0')
tensor(0.0342, device='cuda:0')
tensor(0.1123, device='cuda:0')
tensor(0.0946, device='cuda:0')
tensor(0.1182, device='cuda:0')
tensor(0.0600, device='cuda:0')
tensor(0.0248, device='cuda:0')
tensor(0.1540, device='cuda:0')
tensor(0.1334, device='cuda:0')
tensor(0.0381, device='cuda:0')
tensor(0.0819, device='cuda:0')
tensor(0.0944, device='cuda:0')
tensor(0.1202, device='cuda:0')
tensor(0.0423, device='cuda:0')
tensor(0.0315, device='cuda:0')
tensor(0.1464, device='cuda:0')
tensor(0.1338, device='cuda:0')
tensor(0.0301, device='cuda:0')
tensor(0.0835, device='cuda:0')
tensor(0.0903, device='cuda:0')
tensor(0.1224, device='cuda:0')
tensor(0.0608, device='cuda:0')
tensor(0.0414, device='cuda:0')
tensor(0.1246, device='cuda:0')
tensor(0.0987, device='cuda:0')
tensor(0.0444, device='cuda:0')
tensor(0.1134, device='cuda:0')
tensor(0.0819, device='cuda:0')
tensor(0.1152, device='cuda:0')
tensor(0.0433, device='cuda:0')
tensor(0.0273, device='cuda:0')
tensor(0.1649, device='cuda:0')
tensor(0.1514, device='cuda:0')
tensor(0.0323, device='cuda:0')
tensor(0.0810, device='cuda:0')
tensor(0.1179, device='cuda:0')
tensor(0.1551, device='cuda:0')
tensor(0.0840, device='cuda:0')
tensor(0.0480, device='cuda:0')
tensor(0.1307, device='cuda:0')
tensor(0.1074, device='cuda:0')
tensor(0.0546, device='cuda:0')
tensor(0.1265, device='cuda:0')
tensor(0.0816, device='cuda:0')
tensor(0.1256, device='cuda:0')
tensor(0.0499, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.1436, device='cuda:0')
tensor(0.1383, device='cuda:0')
tensor(0.0282, device='cuda:0')
tensor(0.0891, device='cuda:0')
tensor(0.0974, device='cuda:0')
tensor(0.1431, device='cuda:0')
tensor(0.0661, device='cuda:0')
tensor(0.0341, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.1315, device='cuda:0')
tensor(0.0335, device='cuda:0')
tensor(0.1011, device='cuda:0')
tensor(0.0915, device='cuda:0')
tensor(0.1476, device='cuda:0')
tensor(0.0636, device='cuda:0')
tensor(0.0318, device='cuda:0')
tensor(0.1449, device='cuda:0')
tensor(0.1016, device='cuda:0')
tensor(0.0254, device='cuda:0')
