tensor(0.1966, device='cuda:0')
tensor(0.1367, device='cuda:0')
tensor(0.0230, device='cuda:0')
tensor(0.0140, device='cuda:0')
tensor(0.1353, device='cuda:0')
tensor(0.0401, device='cuda:0')
tensor(0.0232, device='cuda:0')
tensor(0.0074, device='cuda:0')
tensor(0.1729, device='cuda:0')
tensor(0.0804, device='cuda:0')
tensor(0.0394, device='cuda:0')
tensor(0.0087, device='cuda:0')
tensor(0.1121, device='cuda:0')
tensor(0.0182, device='cuda:0')
tensor(0.0464, device='cuda:0')
tensor(0.0090, device='cuda:0')
tensor(0.1708, device='cuda:0')
tensor(0.0743, device='cuda:0')
tensor(0.0496, device='cuda:0')
tensor(0.0102, device='cuda:0')
tensor(0.1173, device='cuda:0')
tensor(0.0125, device='cuda:0')
tensor(0.0207, device='cuda:0')
tensor(0.0038, device='cuda:0')
tensor(0.1834, device='cuda:0')
tensor(0.1029, device='cuda:0')
tensor(0.0337, device='cuda:0')
tensor(0.0089, device='cuda:0')
tensor(0.1332, device='cuda:0')
tensor(0.0271, device='cuda:0')
tensor(0.0101, device='cuda:0')
tensor(0.0046, device='cuda:0')
tensor(0.1680, device='cuda:0')
tensor(0.0846, device='cuda:0')
tensor(0.0217, device='cuda:0')
tensor(0.0114, device='cuda:0')
tensor(0.1067, device='cuda:0')
tensor(0.0447, device='cuda:0')
tensor(0.0273, device='cuda:0')
tensor(0.0053, device='cuda:0')
tensor(0.1500, device='cuda:0')
tensor(0.0783, device='cuda:0')
tensor(0.0470, device='cuda:0')
tensor(0.0161, device='cuda:0')
tensor(0.0994, device='cuda:0')
tensor(0.0194, device='cuda:0')
tensor(0.0087, device='cuda:0')
tensor(0.0049, device='cuda:0')
tensor(0.1900, device='cuda:0')
tensor(0.1007, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.0098, device='cuda:0')
tensor(0.1336, device='cuda:0')
tensor(0.0215, device='cuda:0')
tensor(0.0638, device='cuda:0')
tensor(0.0045, device='cuda:0')
tensor(0.1696, device='cuda:0')
tensor(0.0797, device='cuda:0')
tensor(0.0460, device='cuda:0')
tensor(0.0179, device='cuda:0')
tensor(0.0894, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.0453, device='cuda:0')
tensor(0.0145, device='cuda:0')
tensor(0.1258, device='cuda:0')
tensor(0.0433, device='cuda:0')
tensor(0.0581, device='cuda:0')
tensor(0.0257, device='cuda:0')
tensor(0.0695, device='cuda:0')
tensor(0.0158, device='cuda:0')
tensor(0.0601, device='cuda:0')
tensor(0.0188, device='cuda:0')
tensor(0.1323, device='cuda:0')
tensor(0.0522, device='cuda:0')
tensor(0.0798, device='cuda:0')
tensor(0.0166, device='cuda:0')
tensor(0.0795, device='cuda:0')
tensor(0.0131, device='cuda:0')
tensor(0.0244, device='cuda:0')
tensor(0.0080, device='cuda:0')
tensor(0.1625, device='cuda:0')
tensor(0.0791, device='cuda:0')
tensor(0.0423, device='cuda:0')
tensor(0.0183, device='cuda:0')
tensor(0.1104, device='cuda:0')
tensor(0.0162, device='cuda:0')
tensor(0.0391, device='cuda:0')
tensor(0.0084, device='cuda:0')
tensor(0.1348, device='cuda:0')
tensor(0.0600, device='cuda:0')
tensor(0.0581, device='cuda:0')
tensor(0.0204, device='cuda:0')
tensor(0.0987, device='cuda:0')
tensor(0.0168, device='cuda:0')
tensor(0.0413, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.1449, device='cuda:0')
tensor(0.0476, device='cuda:0')
tensor(0.0626, device='cuda:0')
tensor(0.0208, device='cuda:0')
tensor(0.1077, device='cuda:0')
tensor(0.0109, device='cuda:0')
tensor(0.0539, device='cuda:0')
tensor(0.0121, device='cuda:0')
tensor(0.1398, device='cuda:0')
tensor(0.0380, device='cuda:0')
tensor(0.0650, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.0817, device='cuda:0')
tensor(0.0157, device='cuda:0')
tensor(0.0258, device='cuda:0')
tensor(0.0060, device='cuda:0')
tensor(0.1598, device='cuda:0')
tensor(0.0633, device='cuda:0')
tensor(0.0435, device='cuda:0')
tensor(0.0185, device='cuda:0')
tensor(0.1008, device='cuda:0')
tensor(0.0195, device='cuda:0')
tensor(0.0319, device='cuda:0')
tensor(0.0115, device='cuda:0')
tensor(0.1584, device='cuda:0')
tensor(0.0566, device='cuda:0')
tensor(0.0431, device='cuda:0')
tensor(0.0213, device='cuda:0')
tensor(0.0930, device='cuda:0')
tensor(0.0280, device='cuda:0')
tensor(0.0243, device='cuda:0')
tensor(0.0040, device='cuda:0')
tensor(0.1786, device='cuda:0')
tensor(0.0991, device='cuda:0')
tensor(0.0406, device='cuda:0')
tensor(0.0096, device='cuda:0')
tensor(0.1171, device='cuda:0')
tensor(0.0206, device='cuda:0')
tensor(0.0522, device='cuda:0')
tensor(0.0094, device='cuda:0')
tensor(0.1595, device='cuda:0')
tensor(0.0656, device='cuda:0')
tensor(0.0511, device='cuda:0')
tensor(0.0106, device='cuda:0')
tensor(0.0922, device='cuda:0')
tensor(0.0127, device='cuda:0')
tensor(0.0488, device='cuda:0')
tensor(0.0100, device='cuda:0')
tensor(0.1467, device='cuda:0')
tensor(0.0535, device='cuda:0')
tensor(0.0532, device='cuda:0')
tensor(0.0157, device='cuda:0')
tensor(0.0811, device='cuda:0')
tensor(0.0177, device='cuda:0')
tensor(0.0054, device='cuda:0')
tensor(0.0041, device='cuda:0')
tensor(0.2099, device='cuda:0')
tensor(0.1443, device='cuda:0')
tensor(0.0252, device='cuda:0')
tensor(0.0066, device='cuda:0')
tensor(0.1463, device='cuda:0')
tensor(0.0406, device='cuda:0')
tensor(0.0125, device='cuda:0')
tensor(0.0042, device='cuda:0')
tensor(0.1749, device='cuda:0')
tensor(0.1027, device='cuda:0')
tensor(0.0284, device='cuda:0')
tensor(0.0119, device='cuda:0')
tensor(0.1129, device='cuda:0')
tensor(0.0364, device='cuda:0')
